muniCd,PrefNo,Pref,City,JCCCd,JCC_text,WDCd,WDCd_text,SHCd,SHCd_Text,JCGCd,JCG_text
1100,1,北海道,札幌市,101,札幌市,,,,,,
1101,1,北海道,札幌市 中央区,101,札幌市,10101,札幌市,,,,
1102,1,北海道,札幌市 北区,101,札幌市,10102, 北区,,,,
1103,1,北海道,札幌市 東区,101,札幌市,10103, 東区,,,,
1104,1,北海道,札幌市 白石区,101,札幌市,10104, 白石区,,,,
1105,1,北海道,札幌市 豊平区,101,札幌市,10105, 豊平区,,,,
1106,1,北海道,札幌市 南区,101,札幌市,10106, 南区,,,,
1107,1,北海道,札幌市 西区,101,札幌市,10107, 西区,,,,
1108,1,北海道,札幌市 厚別区,101,札幌市,10108, 厚別区,,,,
1109,1,北海道,札幌市 手稲区,101,札幌市,10109, 手稲区,,,,
1110,1,北海道,札幌市 清田区,101,札幌市,10110, 清田区,,,,
1202,1,北海道,函館市,104,函館市,,,,,,
1203,1,北海道,小樽市,103,小樽市,,,,,,
1204,1,北海道,旭川市,102,旭川市,,,103,上田,,
1205,1,北海道,室蘭市,105,室蘭市,,,,,,
1206,1,北海道,釧路市,106,釧路市,,,,,,
1207,1,北海道,帯広市,107,帯広市,,,,,,
1208,1,北海道,北見市,108,北見市,,,,,,
1209,1,北海道,夕張市,109,夕張市,,,,,,
1210,1,北海道,岩見沢市,110,岩見沢市,,,,,,
1211,1,北海道,網走市,111,網走市,,,,,,
1212,1,北海道,留萌市,112,留萌市,,,102,留萌,,
1213,1,北海道,苫小牧市,113,苫小牧市,,,,,,
1214,1,北海道,稚内市,114,稚内市,,,101,宗谷,,
1215,1,北海道,美唄市,115,美唄市,,,,,,
1216,1,北海道,芦別市,116,芦別市,,,,,,
1217,1,北海道,江別市,117,江別市,,,,,,
1218,1,北海道,赤平市,118,赤平市,,,,,,
1219,1,北海道,紋別市,119,紋別市,,,,,,
1220,1,北海道,士別市,120,士別市,,,,,,
1221,1,北海道,名寄市,121,名寄市,,,,,,
1222,1,北海道,三笠市,122,三笠市,,,,,,
1223,1,北海道,根室市,123,根室市,,,,,,
1224,1,北海道,千歳市,124,千歳市,,,,,,
1225,1,北海道,滝川市,125,滝川市,,,,,,
1226,1,北海道,砂川市,126,砂川市,,,,,,
1227,1,北海道,歌志内市,127,歌志内市,,,,,,
1228,1,北海道,深川市,128,深川市,,,,,,
1229,1,北海道,富良野市,129,富良野市,,,,,,
1230,1,北海道,登別市,130,登別市,,,,,,
1231,1,北海道,恵庭市,131,恵庭市,,,,,,
1233,1,北海道,伊達市(北海道),133,伊達市(北海道),,,,,,
1234,1,北海道,北広島市,134,北広島市,,,,,,
1235,1,北海道,石狩市,135,石狩市,,,,,,
1236,1,北海道,北斗市,136,北斗市,,,,,,
1303,1,北海道,当別町,,,,,,,1008,石狩郡
1304,1,北海道,新篠津村,,,,,,,1008,石狩郡
1331,1,北海道,松前町(北海道),,,,,,,1067,松前郡
1332,1,北海道,福島町,,,,,,,1067,松前郡
1333,1,北海道,知内町,,,,,,,1021,上磯郡
1334,1,北海道,木古内町,,,,,,,1021,上磯郡
1337,1,北海道,七飯町,,,,,,,1024,亀田郡
1343,1,北海道,鹿部町,,,,,,,1025,茅部郡
1345,1,北海道,森町(北海道),,,,,,,1025,茅部郡
1346,1,北海道,八雲町,,,,,,,1079,二海郡
1347,1,北海道,長万部町,,,,,,,1071,山越郡
1361,1,北海道,江差町,,,,,,,1059,檜山郡
1362,1,北海道,上ノ国町,,,,,,,1059,檜山郡
1363,1,北海道,厚沢部町,,,,,,,1059,檜山郡
1364,1,北海道,乙部町,,,,,,,1053,爾志郡
1367,1,北海道,奥尻町,,,,,,,1016,奥尻郡
1370,1,北海道,今金町,,,,,,,1040,瀬棚郡
1371,1,北海道,せたな町,,,,,,,1028,久遠郡
1391,1,北海道,島牧村,,,,,,,1034,島牧郡
1392,1,北海道,寿都町,,,,,,,1039,寿都郡
1393,1,北海道,黒松内町,,,,,,,1039,寿都郡
1394,1,北海道,蘭越町,,,,,,,1009,磯谷郡
1395,1,北海道,ニセコ町,,,,,,,1006,虻田郡
1396,1,北海道,真狩村,,,,,,,1006,虻田郡
1397,1,北海道,留寿都村,,,,,,,1006,虻田郡
1398,1,北海道,喜茂別町,,,,,,,1006,虻田郡
1399,1,北海道,京極町,,,,,,,1006,虻田郡
1400,1,北海道,倶知安町,,,,,,,1006,虻田郡
1401,1,北海道,共和町,,,,,,,1010,岩内郡
1402,1,北海道,岩内町,,,,,,,1010,岩内郡
1403,1,北海道,泊村,,,,,,,1062,古宇郡
1404,1,北海道,神恵内村,,,,,,,1062,古宇郡
1405,1,北海道,積丹町,,,,,,,1035,積丹郡
1406,1,北海道,古平町,,,,,,,1063,古平郡
1407,1,北海道,仁木町,,,,,,,1075,余市郡
1408,1,北海道,余市町,,,,,,,1075,余市郡
1409,1,北海道,赤井川村,,,,,,,1075,余市郡
1423,1,北海道,南幌町,,,,,,,1042,空知郡
1424,1,北海道,奈井江町,,,,,,,1042,空知郡
1425,1,北海道,上砂川町,,,,,,,1042,空知郡
1427,1,北海道,由仁町,,,,,,,1072,夕張郡
1428,1,北海道,長沼町,,,,,,,1072,夕張郡
1429,1,北海道,栗山町,,,,,,,1072,夕張郡
1430,1,北海道,月形町,,,,,,,1020,樺戸郡
1431,1,北海道,浦臼町,,,,,,,1020,樺戸郡
1432,1,北海道,新十津川町,,,,,,,1020,樺戸郡
1433,1,北海道,妹背牛町,,,,,,,1014,雨竜郡
1434,1,北海道,秩父別町,,,,,,,1014,雨竜郡
1436,1,北海道,雨竜町,,,,,,,1014,雨竜郡
1437,1,北海道,北竜町,,,,,,,1014,雨竜郡
1438,1,北海道,沼田町,,,,,,,1014,雨竜郡
1452,1,北海道,鷹栖町,,,,,103,上田,1023,上川郡
